name;sex;Number
Gabriel;M;7087
Raphaël;M;5887
Adam;M;5857
Louise;F;5373
Arthur;M;5235
Louis;M;5232
Paul;M;4547
Alexandre;M;4495
Emma;F;4204
Chloé;F;4148
Camille;F;3994
Victor;M;3986
Alice;F;3816
Mohamed;M;3690
Inès;F;3628
Jeanne;F;3571
Lucas;M;3555
Sarah;F;3505
Antoine;M;3321
Jules;M;3259
Maxime;M;3208
Léa;F;3188
Gaspard;M;3013
Hugo;M;2952
Anna;F;2935
Thomas;M;2888
Joseph;M;2886
Sacha;M;2861
Léo;M;2840
Juliette;F;2836
Eva;F;2736
Lina;F;2710
Noah;M;2702
Nathan;M;2684
Charlotte;F;2631
Jade;F;2535
Oscar;M;2436
Adèle;F;2389
Rose;F;2387
Samuel;M;2386
Augustin;M;2368
Sacha;F;2358
Zoé;F;2350
Manon;F;2319
Lou;F;2272
Nina;F;2243
Ethan;M;2232
Martin;M;2189
Gabrielle;F;2180
Clément;M;2157
Enzo;M;2145
Rayan;M;2109
Clara;F;2109
Lucie;F;2102
Léon;M;2097
Isaac;M;2083
Noé;M;2053
Simon;M;2050
Victoria;F;2044
Anaïs;F;1996
Mathilde;F;1979
Joséphine;F;1962
Sofia;F;1955
Adrien;M;1918
Victoire;F;1892
Yanis;M;1886
Mathis;M;1867
Marie;F;1866
Romane;F;1863
Olivia;F;1862
Liam;M;1821
Axel;M;1813
Aaron;M;1803
Alma;F;1767
Julia;F;1766
Alix;F;1742
Clémence;F;1722
Baptiste;M;1721
Margaux;F;1696
Théo;M;1691
Héloïse;F;1683
Agathe;F;1682
Charles;M;1679
Iris;F;1670
Valentin;M;1646
Eliott;M;1626
Alexis;M;1599
Maxence;M;1578
Ibrahim;M;1575
Timothée;M;1575
Ava;F;1545
Apolline;F;1543
Diane;F;1522
Côme;M;1521
Ismaël;M;1517
Mila;F;1513
Basile;M;1455
Benjamin;M;1454
Maël;M;1454
Pierre;M;1445
Maya;F;1442
David;M;1441
Margot;F;1435
Lisa;F;1431
Yasmine;F;1412
Valentine;F;1401
Marius;M;1400
Ambre;F;1383
Pauline;F;1362
Nour;F;1358
Camille;M;1354
Romy;F;1354
Noa;F;1343
Jean;M;1336
Léonie;F;1322
Félix;M;1310
Tom;M;1310
Elias;M;1308
Suzanne;F;1298
Fatoumata;F;1290
Charlie;F;1284
Léna;F;1282
Nicolas;M;1257
Salomé;F;1249
Ulysse;M;1217
Noémie;F;1212
Elsa;F;1210
Maxime;F;1205
Léonard;M;1202
Lola;F;1198
Naël;M;1192
Mia;F;1176
Eden;F;1167
Capucine;F;1160
Ella;F;1151
William;M;1143
Constance;F;1138
Auguste;M;1136
Sasha;F;1125
Aya;F;1106
Elisa;F;1103
Sara;F;1091
Lucien;M;1087
Garance;F;1081
Romain;M;1079
Robin;M;1079
Noam;M;1075
Laura;F;1073
Madeleine;F;1072
Quentin;M;1070
Mariam;F;1062
Julien;M;1054
Julie;F;1045
Elise;F;1039
Octave;M;1038
Hector;M;1037
Abel;M;1028
Achille;M;1023
Amir;M;1017
Alicia;F;1002
Céleste;F;974
Emilie;F;964
Evan;M;964
Gabin;M;964
Tristan;M;962
Gustave;M;958
Luna;F;953
Marceau;M;948
Youssef;M;947
Solal;M;934
Aminata;F;928
Malo;M;925
Daniel;M;922
Ali;M;921
Amine;M;914
Andrea;M;909
Anouk;F;904
Moussa;M;897
Lila;F;894
Ruben;M;893
Esther;F;892
Nolan;M;887
Milo;M;875
Théodore;M;873
Matthieu;M;868
Sophia;F;844
Roxane;F;832
Aïcha;F;832
Elena;F;830
Inaya;F;815
